Rua: Via da Falperra (17) ; Origem: 213775103 ; Destino: 213768539 ; Oneway: False ; Highway: secondary
Rua: Rua da Venda ; Origem: 213781893 ; Destino: 1235091604 ; Oneway: False ; Highway: residential
Rua: Via Rápida Bom Jesus (4) ; Origem: 213781893 ; Destino: 1607610432 ; Oneway: True ; Highway: secondary
Rua: Via Rápida Bom Jesus (5) ; Origem: 213786304 ; Destino: 8777940233 ; Oneway: True ; Highway: secondary
Rua: Via Rápida Bom Jesus (6) ; Origem: 213790954 ; Destino: 8773256267 ; Oneway: True ; Highway: secondary
Rua: Via Rápida Bom Jesus (7) ; Origem: 213798026 ; Destino: 242199894 ; Oneway: True ; Highway: secondary
Rua: Estrada de Bom Jesus (3) ; Origem: 213798026 ; Destino: 213798053 ; Oneway: False ; Highway: secondary
Rua: Estrada de Bom Jesus (4) ; Origem: 213798053 ; Destino: 2203046694 ; Oneway: False ; Highway: secondary
Rua: Estrada de Bom Jesus (5) ; Origem: 213798053 ; Destino: 1759729197 ; Oneway: False ; Highway: residential
Rua: Estrada de Bom Jesus (6) ; Origem: 213798053 ; Destino: 213798026 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 215735664 ; Destino: 1571099507 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 215735667 ; Destino: 215735664 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 215735667 ; Destino: 211418016 ; Oneway: True ; Highway: tertiary
Rua: ['Avenida António Macedo', 'Avenida Padre Júlio Fragata'] ; Origem: 215738872 ; Destino: 215751302 ; Oneway: True ; Highway: trunk
Rua: Avenida Padre Júlio Fragata (9) ; Origem: 215738886 ; Destino: 215738872 ; Oneway: True ; Highway: trunk
Rua: Avenida Clermont Ferrand ; Origem: 215738886 ; Destino: 1571099507 ; Oneway: True ; Highway: trunk_link
Rua: Avenida António Macedo ; Origem: 215751302 ; Destino: 1692179017 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 215751302 ; Destino: 226258682 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 215753608 ; Destino: 1243859875 ; Oneway: True ; Highway: trunk_link
Rua: Circular Norte de Braga (4) ; Origem: 215753608 ; Destino: 4616869404 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 215856030 ; Destino: 215856035 ; Oneway: False ; Highway: residential
